method	path	line	function	frontend_refs	permission_guard	service_dependencies
GET	/agent/task-status/{user_id}	118	get_task_status	1	1	orchestrator,require_permission
POST	/agent/coach/recommend	127	get_coach_recommendation	1	1	coach_agent,require_permission
POST	/agent/diagnoser/diagnose	148	diagnose_error	1	1	diagnoser_agent,require_permission
POST	/agent/knowledge/search	171	search_knowledge	1	1	knowledge_governance,require_permission
POST	/agent/knowledge	205	create_knowledge	1	1	knowledge_governance,require_permission
POST	/agent/knowledge/{entry_id}/submit	226	submit_knowledge	1	1	knowledge_governance,require_permission
POST	/agent/knowledge/{entry_id}/approve	235	approve_knowledge	1	1	knowledge_governance,require_permission
POST	/agent/coordinate	256	coordinate_agents	1	1	multi_agent_coordinator,require_permission
GET	/agent/evidence/status/{step_id}	278	get_evidence_status	1	1	evidence_enforcer,require_permission
POST	/agent/evidence/collect	285	collect_evidence	1	1	evidence_enforcer,require_permission
GET	/agent/evidence/can-proceed/{step_id}	296	can_proceed	1	1	evidence_enforcer,require_permission
GET	/agent/evidence/requirements/{action_type}	305	get_evidence_requirements	0	1	ACTION_EVIDENCE_REQUIREMENTS,require_permission
POST	/agent/execute	423	execute_agent	2	1	log_allow_event,log_deny_event,orchestrator_v2,require_permission,validate_tool_request_security
POST	/agent/v2/task/create	614	create_task_v2	1	1	orchestrator_v2,require_permission
POST	/agent/v2/task/{task_id}/transition	635	transition_task_state	1	1	TaskEventType,orchestrator_v2,require_permission
GET	/agent/v2/task/{task_id}	659	get_task_status_v2	1	1	orchestrator_v2,require_permission
POST	/agent/v2/policy/evaluate	684	evaluate_policy_v2	1	1	policy_matrix,require_permission
GET	/agent/v2/idempotency/{idempotency_key}	696	check_idempotency	0	1	require_permission
GET	/agent/v2/trace/{trace_id}/events	707	get_trace_events	1	1	orchestrator_v2,require_permission
GET	/agent/v2/modules	718	list_modules	1	1	require_permission
GET	/agent/features	735	list_feature_flags	0	1	feature_flags,require_permission
GET	/agent/features/{flag_name}/status	752	get_feature_flag_status	0	1	feature_flags,require_permission
POST	/agent/features/{flag_name}/enable	765	enable_feature_flag	0	1	feature_flags,require_permission
POST	/agent/features/{flag_name}/disable	772	disable_feature_flag	0	1	feature_flags,require_permission
POST	/agent/features/{flag_name}/rollout	779	set_rollout_percentage	0	1	feature_flags,require_permission
POST	/agent/belief	809	add_belief	0	1	BeliefConfidence,BeliefSource,get_or_create_belief_state,require_permission
GET	/agent/belief/{trace_id}	827	get_belief_state_info	0	1	get_belief_state,require_permission
GET	/agent/belief/{trace_id}/beliefs	838	get_beliefs	0	1	get_belief_state,require_permission
GET	/agent/belief/{trace_id}/conflicts	869	resolve_belief_conflicts	0	1	get_belief_state,require_permission
GET	/agent/belief/{trace_id}/world-model	881	get_world_model	0	1	get_belief_state,require_permission
POST	/agent/belief/{trace_id}/world-model	900	update_world_model	0	1	get_or_create_belief_state,require_permission
POST	/agent/evidence/v2/collect	932	collect_evidence_v2	0	1	EvidenceType,evidence_collector,require_permission
GET	/agent/evidence/v2/{trace_id}/summary	947	get_evidence_summary	0	1	evidence_collector,require_permission
GET	/agent/evidence/v2/{trace_id}/chain	953	get_evidence_chain	0	1	evidence_collector,require_permission
GET	/agent/evidence/v2/can-proceed/{action_type}	960	can_proceed_with_evidence	0	1	evidence_collector,require_permission
GET	/agent/evidence/v2/requirements/{action_type}	967	get_evidence_requirements_v2	0	1	evidence_collector,require_permission
POST	/agent/evidence/v2/{evidence_id}/validate	984	validate_evidence	0	1	evidence_collector,require_permission
POST	/agent/compensation/analyze	1011	analyze_failure	0	1	compensation_planner,require_permission
POST	/agent/compensation/plan	1030	generate_compensation_plan	0	1	CompensationStrategy,compensation_planner,require_permission
GET	/agent/compensation/plan/{plan_id}	1064	get_compensation_plan	0	1	compensation_planner,require_permission
POST	/agent/compensation/plan/{plan_id}/approve	1094	approve_compensation_plan	0	1	compensation_planner,require_permission
POST	/agent/compensation/plan/{plan_id}/execute	1109	execute_compensation_plan	0	1	compensation_planner,require_permission
POST	/agent/compensation/plan/{plan_id}/complete	1120	complete_compensation_plan	0	1	compensation_planner,require_permission
GET	/agent/compensation/plans	1131	list_compensation_plans	0	1	compensation_planner,require_permission
POST	/agent/approval/request	1169	create_approval_request	0	1	ApprovalPriority,approval_queue,require_permission
GET	/agent/approval/pending	1189	get_pending_approvals	1	1	ApprovalPriority,approval_queue,require_permission
GET	/agent/approval/history	1218	get_approval_history	1	1	approval_queue,require_permission
POST	/agent/approval/{request_id}/approve	1249	approve_request	1	1	approval_queue,require_permission
POST	/agent/approval/{request_id}/reject	1268	reject_request	1	1	approval_queue,require_permission
POST	/agent/replay/decision/record	1320	record_decision	1	1	DecisionType,require_permission
GET	/agent/replay/decision/{decision_id}	1344	get_decision	1	1	require_permission
GET	/agent/replay/trace/{trace_id}/decisions	1365	get_trace_decisions	1	1	require_permission
POST	/agent/replay/recalculate	1384	recalculate_decision	1	1	RecalculationRequest,require_permission
GET	/agent/replay/recalculations	1409	get_recalculation_history	1	1	require_permission
POST	/agent/replay/trace	1443	replay_trace	1	1	evidence_collector,orchestrator_v2,require_permission
POST	/agent/metrics/record	1502	record_metric_event	1	1	acceptance_metrics,require_permission
GET	/agent/metrics	1521	get_current_metrics	1	1	acceptance_metrics,require_permission
GET	/agent/metrics/{metric_id}	1540	get_specific_metric	1	1	acceptance_metrics,require_permission
POST	/agent/metrics/report	1560	generate_acceptance_report	1	1	acceptance_metrics,require_permission
GET	/agent/metrics/reports	1586	get_acceptance_reports	1	1	acceptance_metrics,require_permission
POST	/agent/metrics/reset	1607	reset_metrics	1	1	acceptance_metrics,require_permission
GET	/agent/monitor/health	1616	get_health_status	0	1	require_permission,system_monitor
GET	/agent/monitor/metrics	1623	get_system_metrics	0	1	require_permission,system_monitor
GET	/agent/monitor/metrics/history	1637	get_metrics_history	0	1	require_permission,system_monitor
GET	/agent/monitor/alerts	1654	get_alerts	0	1	AlertLevel,require_permission,system_monitor
POST	/agent/monitor/alerts/{alert_id}/acknowledge	1675	acknowledge_alert	0	1	require_permission,system_monitor
POST	/agent/monitor/alerts/clear	1686	clear_alerts	0	1	require_permission,system_monitor
GET	/agent/monitor/checks	1693	get_health_checks	0	1	require_permission,system_monitor
POST	/agent/evaluation/report	1725	generate_evaluation_report	0	1	ReportGenerator,require_permission
POST	/agent/sop/quality/check	1777	check_sop_quality	0	1	SOPQualityMonitor,require_permission
GET	/agent/preference	1832	get_user_preference	1	0	
PUT	/agent/preference/guidance-mode	1854	update_guidance_mode	1	0	
